Summary,Signatures
Divest or put in a blind trust all of the President's business and financial assets,"364,266"
Repeal the NFA,"300,452"
Please ask New York state to overturn recent abortion expansion laws.,"293,310"
Do Not Repeal Net Neutrality,"280,396"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"214,135"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"210,711"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"187,553"
Impeach Nancy Pelosi for crimes of Treason!,"177,475"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","163,810"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"144,599"
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"141,626"
"Jd.com,inc inducing consumers which leads to millions of people have been cheated for tens of billions of dollars.","137,029"
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","132,290"
Protect Free Speech in the Digital Public Square,"129,148"
CONDEMN India's Denial of Justice to the Victims of November 1984 Sikh Genocide,"124,648"
Over 1.5 Million American jobs in jeopardy upon the change of the EB-5 rule – Must re-define the limitations of the visa,"122,935"
STOP THE COLLECTIVE PUNISHMENT OF MINORITIES IN SOUTH AFRICA,"122,600"
Expulsion For Maxine Waters - Remove Her From Congress,"119,665"
We The People Call for The Resignation of FCC Chairman Ajit Varadaraj Pai,"119,298"
"Award the Presidential Medal of Freedom to Parkland Shooting HERO and victim, Peter Wang, who died saving others","117,526"
